id,name,yearpublished,minplayers,maxplayers,playingtime,users_rated,average_rating,bayes_average_rating,total_weights,average_weight
19274,b'Darkness Falls on Sevinpold',b'2002',b'2',b'7',b'40',b'70',b'4.43429',b'5.4451',b'12',b'1.6667'
71569,b'Kuni Tori!',b'2010',b'2',b'6',b'45',b'56',b'6.90804',b'5.55114',b'7',b'2.2857'
10470,b'March to Victory: West Front 1914-1916',b'1997',b'2',b'2',b'360',b'45',b'7.16111',b'5.53635',b'12',b'4.25'
18803,b'Black Stories',b'2004',b'2',b'15',b'20',b'3585',b'6.07753',b'5.88141',b'176',b'1.2727'
199790,b'Encantados',b'2016',b'2',b'6',b'60',b'74',b'7.11054',b'5.57229',b'2',b'1.5'
81698,b'Total Rumble',b'2010',b'2',b'12',b'20',b'91',b'6.78326',b'5.54868',b'12',b'1'
64080,b'Rowboat',b'2009',b'2',b'4',b'60',b'169',b'6.15053',b'5.56744',b'15',b'2.1333'
185123,b'Ascension: Dreamscape',b'2015',b'1',b'4',b'60',b'528',b'7.66074',b'6.069',b'16',b'2.3125'
6920,b'The Omega War',b'1983',b'2',b'2',b'45',b'42',b'6.58333',b'5.52829',b'5',b'3.2'
17623,b'Inferno',b'2005',b'3',b'7',b'20',b'139',b'5.89417',b'5.53329',b'10',b'1.4'
1760,b'Fury of the Clansmen',b'1994',b'2',b'8',b'120',b'94',b'6.3234',b'5.54183',b'8',b'2.75'
129380,b'Mercurius',b'2012',b'3',b'5',b'60',b'313',b'6.23211',b'5.62353',b'31',b'2.4194'
2346,b'DVONN',b'2001',b'2',b'2',b'30',b'4202',b'7.44742',b'6.95208',b'364',b'2.6786'
8471,b'Trenchfoot',b'1981',b'2',b'2',b'120',b'82',b'5.81098',b'5.50688',b'9',b'1.8889'
34374,b'Hang Four',b'2008',b'2',b'4',b'20',b'42',b'5.38571',b'5.49643',b'4',b'1'
31722,b'Steam over Holland',b'2007',b'2',b'5',b'180',b'511',b'7.35971',b'6.01539',b'54',b'3.7778'
