id,type,name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,users_rated,average_rating,bayes_average_rating,total_owners,total_traders,total_wanters,total_wishers,total_comments,total_weights,average_weight
85287,boardgame,b'Thai Checkers',b'1850',b'2',b'2',b'10',b'10',b'10',b'8',b'15',b'6.18667',b'0',b'10',b'0',b'0',b'2',b'2',b'1',b'2'
164975,boardgame,b'Bloody Sands Dice',b'2014',b'2',b'8',b'20',b'20',b'20',b'8',b'32',b'7.43437',b'5.52496',b'37',b'1',b'1',b'3',b'8',b'4',b'2'
13266,boardgame,b'Three Days of Gettysburg (third edition)',b'2004',b'1',b'6',b'4500',b'180',b'4500',b'12',b'177',b'7.4952',b'5.70379',b'618',b'8',b'63',b'143',b'90',b'46',b'4.2391'
49050,boardgame,b'Battleground Fantasy Warfare: Monsters & Mercenaries',b'2008',b'2',b'2',b'60',b'60',b'60',b'12',b'43',b'7.35581',b'5.55119',b'255',b'13',b'12',b'23',b'15',b'3',b'2.6667'
160430,boardgame,b'Pleasant Prospect Farm',b'2014',b'2',b'4',b'5',b'5',b'5',b'6',b'26',b'6.60769',b'0',b'48',b'0',b'0',b'14',b'21',b'4',b'1'
85504,boardgame,"b""Don't Let the Pigeon Drive the Bus Game!""",b'2010',b'2',b'4',b'20',b'20',b'20',b'3',b'39',b'4.8359',b'5.47958',b'82',b'1',b'1',b'4',b'17',b'5',b'1.2'
7854,boardgame,b'YINSH',b'2003',b'2',b'2',b'60',b'30',b'60',b'9',b'6690',b'7.68527',b'7.29988',b'8411',b'103',b'563',b'2474',b'1843',b'537',b'2.7039'
200,boardgame,b'Entdecker',b'1996',b'2',b'4',b'60',b'60',b'60',b'10',b'1367',b'6.46086',b'5.97427',b'2221',b'112',b'62',b'178',b'395',b'126',b'2.2381'
86003,boardgame,b'Aether Captains',b'2010',b'1',b'6',b'60',b'30',b'60',b'13',b'73',b'6.72329',b'5.54843',b'156',b'6',b'14',b'143',b'68',b'12',b'2'
7262,boardgame,b'Top Trumps',b'1968',b'2',b'6',b'20',b'20',b'20',b'6',b'856',b'4.22051',b'4.97385',b'2144',b'76',b'9',b'43',b'543',b'91',b'1.0549'
99807,boardgame,b'Crossroads',b'2011',b'1',b'4',b'30',b'30',b'30',b'8',b'16',b'6.40625',b'0',b'24',b'0',b'6',b'26',b'8',b'1',b'3'
18824,boardgame,b'WWE Raw Deal',b'2000',b'2',b'8',b'15',b'15',b'15',b'10',b'169',b'6.77118',b'5.62251',b'213',b'23',b'16',b'13',b'73',b'23',b'2.6087'
166473,boardgame,b'US High Speed Rail',b'2014',b'2',b'6',b'30',b'30',b'30',b'12',b'11',b'4.98727',b'0',b'11',b'1',b'3',b'5',b'6',b'1',b'2'
171356,boardgame,b'Argonauts',b'2015',b'1',b'4',b'60',b'60',b'60',b'10',b'282',b'7.1211',b'5.74865',b'636',b'23',b'49',b'185',b'110',b'20',b'2.05'
13414,boardgame,b'Star Probe',b'1974',b'1',b'8',b'360',b'360',b'360',b'10',b'19',b'5.91053',b'0',b'85',b'2',b'4',b'7',b'20',b'4',b'2.75'
156129,boardgame,b'Deception: Murder in Hong Kong',b'2014',b'4',b'12',b'20',b'20',b'20',b'14',b'13066',b'7.5128',b'7.29192',b'19517',b'274',b'712',b'4611',b'2325',b'233',b'1.5966'
12708,boardgame,b'Conquer Everest',b'1975',b'2',b'4',b'45',b'45',b'45',b'8',b'20',b'6.7',b'0',b'23',b'0',b'2',b'9',b'11',b'3',b'1.6667'
157581,boardgame,"b""Makin' Bacon""",b'2012',b'2',b'6',b'0',b'0',b'0',b'8',b'28',b'3.41071',b'0',b'139',b'7',b'0',b'1',b'9',b'3',b'1'
32526,boardgame,b'Ithaka',b'2002',b'2',b'2',b'15',b'15',b'15',b'0',b'11',b'5.68182',b'0',b'9',b'0',b'0',b'11',b'12',b'3',b'2'
20605,boardgame,b'100 Other Games to Play on a Chessboard',b'1983',b'2',b'2',b'0',b'0',b'0',b'8',b'9',b'7.38889',b'0',b'25',b'1',b'8',b'30',b'6',b'1',b'3'
14756,boardgame,b'Galactic Conquest',b'1976',b'3',b'0',b'0',b'0',b'0',b'12',b'6',b'4.33333',b'0',b'23',b'0',b'6',b'5',b'1',b'0',b'0'
29635,boardgame,b'The Dinosaur Card Game',b'0',b'2',b'4',b'0',b'0',b'0',b'4',b'8',b'4.575',b'0',b'30',b'1',b'1',b'1',b'4',b'1',b'1'
3040,boardgame,b'Star Trek: Starship Tactical Combat Simulator',b'1983',b'2',b'6',b'120',b'30',b'120',b'10',b'403',b'6.68407',b'5.73574',b'882',b'40',b'32',b'80',b'160',b'46',b'2.8696'
8453,boardgame,"b""Edson's Ridge""",b'1995',b'2',b'2',b'90',b'90',b'90',b'12',b'13',b'5.8',b'0',b'111',b'11',b'1',b'0',b'15',b'3',b'2.6667'
15708,boardgame,b'The Muppet Show',b'1979',b'2',b'4',b'30',b'30',b'30',b'7',b'8',b'4.2625',b'0',b'33',b'2',b'3',b'7',b'3',b'1',b'1'
138729,boardgame,b'Hull Breach: Loyalty & Vigilance',b'2014',b'2',b'8',b'60',b'60',b'60',b'13',b'41',b'7.40854',b'5.52905',b'161',b'17',b'2',b'16',b'16',b'5',b'2.6'
163983,boardgame,b'Squirrel or Die',b'2014',b'2',b'4',b'20',b'20',b'20',b'11',b'95',b'6.44211',b'5.53713',b'222',b'7',b'4',b'17',b'26',b'5',b'1'
121657,boardgame,b'Axis & Allies Air Force Miniatures: Angels 20',b'2012',b'2',b'6',b'30',b'30',b'30',b'12',b'181',b'7.20691',b'5.67595',b'402',b'27',b'16',b'41',b'65',b'26',b'2.3077'
6346,boardgame,b'NBA Showdown',b'2001',b'2',b'2',b'20',b'20',b'20',b'8',b'49',b'6.84796',b'5.51719',b'86',b'7',b'3',b'6',b'19',b'5',b'2.4'
130352,boardgame,b'Aloha: The Spirit of Hawaii',b'2012',b'2',b'4',b'60',b'60',b'60',b'10',b'25',b'6.02',b'0',b'82',b'9',b'1',b'16',b'16',b'4',b'2.75'
96074,boardgame,b'Crazyhouse',b'0',b'2',b'2',b'30',b'30',b'30',b'7',b'12',b'7',b'0',b'10',b'0',b'0',b'2',b'8',b'2',b'2.5'
