avg_rate,geek_rate,id,num_votes,title
7.61,7.282,24181,8033,Shop
7.50,7.279,97207,11596,Shop
7.56,7.276,127060,8491,Shop
7.59,7.274,27708,8147,Shop
7.55,7.274,22545,9623,Shop
7.43,7.269,108745,18592,Shop
8.48,7.268,218417,2152,Shop
7.72,7.263,193037,6562,Shop
7.62,7.263,203420,6912,Shop
7.46,7.263,38453,14070,Shop
7.48,7.262,92828,14523,Shop
7.54,7.260,93260,9941,Shop
7.81,7.257,234,4640,Shop
7.65,7.255,59294,7457,Shop
7.79,7.251,146439,5141,Shop
7.44,7.251,3,13901,Shop
7.57,7.250,199478,8958,Shop
7.56,7.247,66589,7569,Shop
7.44,7.246,48726,13477,Shop
7.55,7.246,181279,9534,Shop
7.68,7.244,101721,7027,Shop
7.85,7.241,19777,3741,Shop
8.37,7.238,285774,2595,Shop
7.89,7.237,189932,3958,Shop
7.95,7.235,222509,4203,Shop
7.91,7.235,13122,3459,Shop
7.42,7.233,760,14689,Shop
7.69,7.231,54138,5333,Shop
7.52,7.231,169426,9277,Shop
7.59,7.227,172081,7035,Shop
7.58,7.227,144344,6768,Shop
7.36,7.226,204583,24076,Shop
7.36,7.225,181304,26612,Shop
7.56,7.224,217372,7463,Shop
7.47,7.224,172818,11143,Shop
7.81,7.221,176734,4152,Shop
7.76,7.220,228341,4700,Shop
7.55,7.218,158600,7619,Shop
7.45,7.210,160477,11936,Shop
7.38,7.210,118,15164,Shop
7.44,7.207,77130,13716,Shop
7.93,7.206,17392,3391,Shop
7.53,7.206,197376,9447,Shop
7.41,7.199,45315,12374,Shop
7.29,7.199,40692,56259,Shop
7.42,7.196,59959,12502,Shop
7.32,7.194,2655,26419,Shop
7.31,7.193,41114,33295,Shop
7.41,7.191,119890,11461,Shop
7.89,7.189,163745,4108,Shop
7.45,7.188,136888,9360,Shop
7.43,7.186,25292,11942,Shop
7.94,7.185,139976,3956,Shop
7.50,7.183,206718,7884,Shop
7.34,7.182,37046,18147,Shop
7.49,7.181,176920,7844,Shop
7.38,7.181,209685,15005,Shop
7.42,7.179,46213,10909,Shop
7.34,7.176,54,16811,Shop
7.72,7.175,232832,4696,Shop
7.45,7.174,143693,8326,Shop
7.28,7.174,39856,44565,Shop
7.35,7.174,5,17440,Shop
7.69,7.173,182134,5015,Shop
7.41,7.169,21241,12404,Shop
7.29,7.166,70919,30321,Shop
7.60,7.166,254640,5481,Shop
7.39,7.162,163967,13114,Shop
7.62,7.159,1,4900,Shop
7.41,7.157,140934,9704,Shop
7.42,7.156,33160,8842,Shop
7.36,7.155,25554,11618,Shop
7.24,7.155,129622,49943,Shop
7.38,7.150,31594,10094,Shop
7.54,7.149,36932,6410,Shop
7.64,7.146,40765,4888,Shop
7.27,7.142,8217,21263,Shop
7.31,7.141,2653,18302,Shop
9.01,7.140,264220,1904,Shop
7.61,7.139,227789,4954,Shop
7.62,7.136,121,5246,Shop
7.30,7.136,24480,15478,Shop
7.86,7.135,15985,3293,Shop
7.31,7.132,9217,13715,Shop
7.40,7.132,63628,8649,Shop
7.97,7.129,243,3336,Shop
7.35,7.128,124708,15152,Shop
7.54,7.127,54625,6486,Shop
7.51,7.127,71,6861,Shop
8.55,7.123,186751,2193,Shop
7.31,7.123,198773,14315,Shop
7.38,7.122,39683,8776,Shop
7.38,7.119,90137,9753,Shop
7.21,7.118,70323,51673,Shop
7.41,7.118,21348,8462,Shop
7.64,7.117,144592,4239,Shop
7.78,7.116,262712,3703,Shop
7.49,7.115,199042,8412,Shop
7.54,7.113,286096,5975,Shop
7.72,7.112,154809,3668,Shop
7.56,7.109,234487,5388,Shop
