id,details.name,attributes.boardgamecategory,attributes.boardgamemechanic,yearpublished,minplayers,maxplayers,playingtime,users_rated,average_rating,bayes_average_rating,total_weights,average_weight
9938,Smath,"Educational,Math",Tile Placement,1978,2,4,45,64,4.28961,5.4508,3,2.3333
9961,"Year of the Rat: Vietnam, 1972","Vietnam War,Wargame","Dice Rolling,Hex-and-Counter",1972,2,2,120,94,6.82394,5.56593,18,2.8889
9962,Chez Goth,Card Game,"Set Collection,Take That",2004,2,5,60,661,5.98459,5.64014,63,1.4286
9963,Santorini,"Abstract Strategy,Ancient,Mythology","Grid Movement,Tile Placement,Variable Player Powers",2004,2,3,20,303,7.30612,5.81687,20,2.4
9968,Custer's Luck,"American Indian Wars,Fighting,Wargame","Hex-and-Counter,Simulation",1985,1,3,180,44,5.38636,5.49405,11,2.2727
9969,Speculation,Economic,"Auction/Bidding,Hand Management,Press Your Luck,Roll / Spin and Move,Set Collection,Stock Holding,Trading",2003,3,5,60,53,5.44057,5.49433,3,2.3333
9971,Seasons: The Calendar Rummy Game,"Card Game,Number","Deck / Pool Building,Hand Management,Pattern Building,Set Collection",2004,2,4,90,87,6.20172,5.53113,9,1.8889
9973,Cauldron,"Wargame,World War II","Dice Rolling,Hex-and-Counter",1976,2,2,180,43,6.34302,5.52362,9,2.1111
9989,Mare Polare,"Children's Game,Memory",Memory,2004,2,4,30,36,5.76083,5.50813,6,1.6667
10008,Rifle & Saber,"American Civil War,Wargame","Hex-and-Counter,Simulation",1973,2,2,90,40,5.6375,5.50112,4,2.25
10022,La Révolution française: La patrie en danger 1790-1796,Political,"Area Movement,Simulation",1995,4,6,180,66,7.15152,5.57174,11,3.7273
10033,Monopoly: Las Vegas,"Economic,Negotiation","Auction/Bidding,Dice Rolling,Roll / Spin and Move,Set Collection,Stock Holding,Trading",2000,2,6,120,50,5.706,5.49279,3,2
10043,LEGO Racers Super Speedway Game,"Children's Game,Racing","Modular Board,Roll / Spin and Move",2001,2,4,30,103,4.67184,5.44142,15,1.2
10065,Pokémon Master Trainer II,"Children's Game,Fantasy,Fighting,Movies / TV / Radio theme,Video Game Theme","Roll / Spin and Move,Set Collection",2001,2,6,45,72,6.61111,5.52631,3,2.6667
10075,Claim to Fame,"Memory,Party Game","Acting,Memory",1990,4,99,60,39,5.41667,5.49944,3,1.3333
10081,Axis & Allies: D-Day,"Wargame,World War II","Area Movement,Dice Rolling,Partnerships",2004,2,3,120,1890,6.4214,5.97252,193,2.3782
10093,Axis & Allies,"Economic,Wargame,World War II","Area Movement,Dice Rolling,Partnerships",2004,2,5,240,5658,6.70714,6.36522,602,3.211
10094,Weakest Link,"Memory,Movies / TV / Radio theme,Trivia","Memory,Voting",2001,4,8,60,45,4.73333,5.47472,3,1.6667
10096,Splotch!,"Animals,Memory",Memory,1998,2,2,30,67,6.48925,5.54257,5,2.2
10102,Ignorant Armies: Iran-Iraq War,"Modern Warfare,Political,Wargame","Dice Rolling,Hex-and-Counter,Simulation",2003,1,2,240,70,6.64286,5.55394,10,2.6
10104,Take 5,Abstract Strategy,Pattern Building,1977,2,2,10,51,5.42353,5.49416,3,1
10140,The Scrambled States of America,"Card Game,Educational,Real-time,Trivia",Pattern Recognition,2002,2,4,20,222,5.81728,5.53568,19,1.2105
10149,The Great War in Europe,"Economic,Fighting,Wargame,World War I","Dice Rolling,Hex-and-Counter,Simulation",1995,2,2,360,140,6.775,5.60968,22,3.7727
10154,Treasure of the Pharaohs,"Ancient,Children's Game,Maze,Mythology",Roll / Spin and Move,1974,2,6,45,41,6.07317,5.50374,5,1.8
10156,The Russian Campaign (fourth edition),"Wargame,World War II","Dice Rolling,Hex-and-Counter",2003,2,2,240,269,7.64705,5.82169,40,2.95
10164,Fliegen klatschen,"Action / Dexterity,Animals,Card Game,Children's Game,Party Game",Pattern Recognition,2004,2,8,15,538,5.99371,5.6292,43,1.0465
10168,Citadel: The Battle of Dien Bien Phu,"Vietnam War,Wargame","Dice Rolling,Hex-and-Counter,Simulation",1977,1,2,360,60,7.77833,5.57733,10,3.1
10171,RISIKO! Master,Wargame,"Area-Impulse,Dice Rolling",2002,3,6,180,69,6.07681,5.52075,0,0
10174,Bitter Woods (fourth edition),"Dice,Wargame,World War II","Dice Rolling,Hex-and-Counter",2003,2,4,240,284,7.66466,5.84571,49,3.1429
10183,Napoleon at Leipzig,"Napoleonic,Wargame","Hex-and-Counter,Simulation",1979,1,3,300,232,7.41326,5.76055,41,2.9024
10186,JENA!,"Napoleonic,Wargame","Hex-and-Counter,Simulation",1996,2,3,300,99,6.82222,5.57525,19,2.8421
10188,Sale of the Century Quizzard,"Electronic,Memory,Movies / TV / Radio theme,Trivia",Memory,1986,2,6,45,37,6.48811,5.52025,2,2
10196,Farlander,"Abstract Strategy,Medieval,Wargame","Area Movement,Modular Board",2002,2,4,30,221,5.54412,5.5028,28,1.6429
10203,ASAP,"Action / Dexterity,Card Game,Memory,Party Game,Trivia,Word Game","Memory,Simultaneous Action Selection",1989,2,12,20,72,5.52083,5.50219,5,1.2
10206,Make 'n' Break,"Action / Dexterity,Card Game",Pattern Building,2004,2,4,30,1009,6.08834,5.74798,83,1.2771
10213,Fox and Geese,"Abstract Strategy,Animals,Children's Game",Grid Movement,1400,2,2,20,246,4.77764,5.38506,20,1.55
