id,details.name,attributes.boardgamecategory,attributes.boardgamemechanic,yearpublished,minplayers,maxplayers,playingtime,users_rated,average_rating,bayes_average_rating,total_weights,average_weight
1,Die Macher,"Economic,Negotiation,Political","Area Control / Area Influence,Auction/Bidding,Dice Rolling,Hand Management,Simultaneous Action Selection",1986,3,5,240,4905,7.62308,7.15896,737,4.3433
2,Dragonmaster,"Card Game,Fantasy",Trick-taking,1981,3,4,30,532,6.60636,5.81084,54,1.963
3,Samurai,"Abstract Strategy,Medieval","Area Control / Area Influence,Hand Management,Set Collection,Tile Placement",1998,2,4,60,13922,7.44238,7.25035,1416,2.4958
4,Tal der Könige,Ancient,"Action Point Allowance System,Area Control / Area Influence,Auction/Bidding,Set Collection",1992,2,4,60,327,6.60924,5.7078,30,2.6667
5,Acquire,Economic,"Hand Management,Stock Holding,Tile Placement",1964,2,6,90,17465,7.34697,7.17281,1573,2.506
6,Mare Mediterraneum,"Civilization,Nautical",Dice Rolling,1989,2,6,240,78,6.53654,5.55569,7,3
7,Cathedral,Abstract Strategy,"Area Enclosure,Pattern Building,Pattern Recognition,Tile Placement",1978,2,2,20,3090,6.5089,6.16174,272,1.8051
8,Lords of Creation,"Civilization,Fantasy",Modular Board,1993,2,5,120,193,6.1401,5.58051,15,2.4
9,El Caballero,Exploration,"Area Control / Area Influence,Tile Placement",1998,2,4,90,1346,6.47162,5.97519,147,3.1905
10,Elfenland,"Fantasy,Travel","Card Drafting,Hand Management,Point to Point Movement,Route/Network Building",1998,2,6,60,7624,6.72858,6.52165,682,2.1628
11,Bohnanza,"Card Game,Farming,Negotiation","Hand Management,Set Collection,Trading",1997,2,7,45,35470,7.03956,6.94076,2721,1.6748
12,Ra,"Ancient,Mythology","Auction/Bidding,Press Your Luck,Set Collection",1999,2,5,60,18132,7.46924,7.32253,1722,2.3496
13,Catan,Negotiation,"Dice Rolling,Hand Management,Modular Board,Route/Network Building,Trading",1995,3,4,120,90832,7.17283,7.01411,7015,2.3327
14,Basari,Negotiation,"Roll / Spin and Move,Set Collection,Simultaneous Action Selection",1998,3,4,25,1577,6.75779,6.18386,179,1.8603
15,Cosmic Encounter,"Bluffing,Negotiation,Science Fiction","Hand Management,Variable Player Powers",1977,2,6,90,3788,6.9116,6.48381,424,2.3656
16,MarraCash,Economic,Auction/Bidding,1996,3,4,60,913,6.82204,6.0416,93,2.1505
17,Button Men,"Collectible Components,Dice,Fighting,Print & Play","Dice Rolling,Press Your Luck",1999,2,2,5,784,6.35644,5.79225,73,1.5342
18,RoboRally,"Miniatures,Racing,Science Fiction","Action / Movement Programming,Grid Movement,Modular Board,Simultaneous Action Selection",1994,2,8,120,21677,7.09313,6.96461,1699,2.4308
19,Wacky Wacky West,"American West,Bluffing,City Building","Tile Placement,Voting",1991,2,4,45,1646,6.30211,5.92776,155,1.8452
20,Full Metal Planète,Science Fiction,Action Point Allowance System,1988,2,4,90,688,7.48419,6.13399,59,3.1525
22,Magic Realm,"Adventure,Exploration,Fantasy","Action / Movement Programming,Modular Board,Rock-Paper-Scissors,Role Playing,Simultaneous Action Selection,Variable Player Powers",1979,1,16,240,1908,7.1778,6.41667,365,4.5178
23,Divine Right,"Fantasy,Political,Wargame","Dice Rolling,Hex-and-Counter,Variable Phase Order",1979,2,6,360,535,7.07628,5.87586,70,3.1857
24,Twilight Imperium,"Civilization,Negotiation,Political,Science Fiction,Space Exploration,Wargame","Dice Rolling,Hex-and-Counter,Modular Board,Tile Placement,Variable Player Powers,Voting",1997,2,6,240,678,6.64843,5.84693,52,3.4808
26,Age of Renaissance,"Civilization,Economic,Medieval,Renaissance","Area Movement,Auction/Bidding",1996,3,6,300,2083,7.09848,6.42343,270,3.8593
27,Supremacy,"Economic,Political,Wargame","Commodity Speculation,Dice Rolling",1984,2,6,340,1303,5.61775,5.49573,116,3.1293
28,Illuminati:  Deluxe Edition,"Card Game,Humor,Negotiation,Political","Card Drafting,Dice Rolling,Route/Network Building,Tile Placement,Variable Player Powers",1987,2,8,180,4700,6.49662,6.20284,421,2.6508
29,Terrain Vague,"Fighting,Humor","Action Point Allowance System,Modular Board",1993,2,4,120,68,6.65662,5.55741,8,3.25
30,Dark Tower,"Adventure,Electronic,Exploration,Fantasy,Fighting","Area Movement,Press Your Luck",1981,1,4,90,1190,6.75424,5.97722,95,1.8105
31,Dark World,"Adventure,Exploration,Fantasy,Fighting,Miniatures","Dice Rolling,Grid Movement",1991,2,5,90,700,5.28249,5.40409,52,1.9231
34,Arkham Horror,"Adventure,Horror,Novel-based",Co-operative Play,1987,1,8,180,504,6.61936,5.76077,46,2.3043
36,Federation & Empire,"Science Fiction,Wargame",Hex-and-Counter,1986,2,8,300,387,6.34367,5.65751,62,4.4032
40,Borderlands,"Bluffing,Civilization,Fantasy,Negotiation,Political","Area Movement,Trading",1982,2,4,120,264,6.76967,5.68362,22,2.7727
41,Can't Stop,Dice,"Dice Rolling,Press Your Luck",1980,2,4,30,11296,6.85666,6.69881,859,1.1595
42,Tigris & Euphrates,"Abstract Strategy,Ancient,Civilization,Territory Building","Area Control / Area Influence,Hand Management,Set Collection,Tile Placement",1997,2,4,90,23933,7.70291,7.5486,2587,3.516
43,Airlines,"Aviation / Flight,Economic","Route/Network Building,Stock Holding",1990,2,6,90,360,6.60024,5.72734,33,2.4242
44,David & Goliath,Card Game,Trick-taking,1997,3,6,60,1534,6.44118,6.00193,179,1.6257
45,Liar's Dice,"Bluffing,Dice,Movies / TV / Radio theme,Party Game","Betting/Wagering,Dice Rolling,Player Elimination",1800,2,6,30,11622,6.91199,6.74268,892,1.2612
46,Medici,Renaissance,"Auction/Bidding,Set Collection",1995,2,6,60,6814,7.14416,6.85981,575,2.2626
47,Chinatown,"City Building,Economic,Negotiation","Set Collection,Tile Placement,Trading",1999,3,5,60,7543,7.29507,7.00136,470,2.2894
48,Krieg und Frieden,"Medieval,Political",Auction/Bidding,1999,2,4,90,685,6.12107,5.70493,69,2.4638
49,Mamma Mia!,Card Game,"Hand Management,Memory",1998,2,5,30,5460,6.47804,6.26386,479,1.3695
50,Lost Cities,"Card Game,Exploration","Hand Management,Set Collection",1999,2,2,30,33723,7.16521,7.06841,2799,1.5052
51,Ricochet Robots,"Abstract Strategy,Maze,Puzzle,Real-time","Grid Movement,Modular Board",1999,1,99,30,7523,7.00662,6.7426,481,2.4283
54,Tikal,"Exploration,Territory Building","Action Point Allowance System,Area Control / Area Influence,Auction/Bidding,Grid Movement,Set Collection,Tile Placement",1999,2,4,90,16858,7.34121,7.17533,1444,2.8102
57,Schoko & Co.,Economic,"Auction/Bidding,Commodity Speculation",1987,2,4,180,389,6.65808,5.75203,47,2.9149
58,Kings & Things,"Bluffing,Exploration,Fantasy,Territory Building,Wargame","Area Control / Area Influence,Area Movement,Hex-and-Counter,Modular Board,Secret Unit Deployment",1986,2,4,120,1577,6.51588,6.0203,160,2.6437
59,Giganten,"Economic,Exploration,Industry / Manufacturing","Auction/Bidding,Commodity Speculation",1999,3,4,90,1358,6.71155,6.11292,136,2.5735
60,Vinci,"Ancient,Civilization,Territory Building","Area Control / Area Influence,Area Movement,Variable Player Powers",1999,3,6,90,3864,7.09813,6.66692,437,2.7826
61,Fossil,Ancient,Set Collection,1998,2,6,40,653,5.43979,5.47957,50,1.74
62,Curse of the Mummy's Tomb,"Adventure,Ancient,Horror",Action / Movement Programming,1988,1,4,120,327,5.32446,5.4641,25,1.88
63,Samurai,"Political,Wargame",Area Movement,1979,2,8,180,410,6.45527,5.69325,53,2.6226
66,Löwenherz,"Medieval,Political","Area Control / Area Influence,Auction/Bidding,Modular Board",1997,2,4,90,2357,7.04663,6.47741,265,2.9283
67,Conquest,"Abstract Strategy,Ancient,Wargame","Action Point Allowance System,Point to Point Movement",1974,2,4,120,349,6.30696,5.65602,31,2.5161
68,Successors (second edition),"Ancient,Wargame","Campaign / Battle Card Driven,Point to Point Movement",1997,2,4,180,472,7.03793,5.87963,66,3.197
69,Bollox,Abstract Strategy,Pattern Building,1999,2,2,20,42,6.74286,5.52888,5,2.4
70,Big City,City Building,"Hand Management,Modular Board,Tile Placement",1999,2,5,60,2299,6.89069,6.36969,257,2.2179
71,Civilization,"Ancient,Civilization,Economic,Negotiation","Area Control / Area Influence,Area Movement,Hand Management,Set Collection,Trading",1980,2,7,360,6867,7.50764,7.12733,731,3.658
72,Verräter,"Card Game,Political","Card Drafting,Hand Management,Modular Board,Partnerships,Variable Player Powers",1998,3,4,60,1848,6.71646,6.1979,184,2.5707
73,Show Manager,Card Game,"Card Drafting,Set Collection",1996,2,6,60,1635,7.02123,6.32331,158,2.0949
74,Apples to Apples,"Card Game,Humor,Party Game","Hand Management,Simultaneous Action Selection,Voting",1999,4,10,30,16778,5.83695,5.7286,1435,1.1631
75,Falling,"Card Game,Fantasy,Print & Play,Real-time",Hand Management,1998,4,8,5,1362,5.48707,5.4759,130,1.2231
76,Air Baron,"Aviation / Flight,Economic,Territory Building","Area Control / Area Influence,Chit-Pull System,Dice Rolling",1996,2,6,120,748,6.38869,5.79338,92,2.5543
77,EastFront,"Wargame,World War II","Dice Rolling,Secret Unit Deployment,Simulation",1991,2,2,240,654,7.65097,6.17014,89,3.618
78,WestFront,"Wargame,World War II","Dice Rolling,Secret Unit Deployment",1992,2,2,240,187,6.8293,5.64844,34,3.5
82,Bobby Lee,"American Civil War,Wargame","Dice Rolling,Secret Unit Deployment",1993,2,2,240,320,6.77832,5.73524,49,3
83,Sam Grant,"American Civil War,Wargame",Secret Unit Deployment,1997,2,2,180,130,6.40462,5.5754,26,2.8846
84,Rommel in the Desert,"Wargame,World War II","Dice Rolling,Secret Unit Deployment",1982,2,2,150,955,7.53651,6.3253,151,3.4305
85,Quebec 1759,"Age of Reason,Wargame","Dice Rolling,Point to Point Movement,Secret Unit Deployment",1972,2,2,60,677,6.93898,5.95254,85,2.1529
87,Victory:  The Blocks of War,"Wargame,World War II","Dice Rolling,Hex-and-Counter,Secret Unit Deployment",1998,2,4,120,411,6.37291,5.69594,52,2.6154
88,Torres,"Abstract Strategy,Medieval","Action Point Allowance System,Area Control / Area Influence,Area Enclosure,Grid Movement,Hand Management,Tile Placement",1999,2,4,60,8226,7.1443,6.88396,811,2.8742
89,Blue vs. Gray,"American Civil War,Card Game,Dice,Wargame","Dice Rolling,Hand Management",1999,2,4,120,438,6.75568,5.79765,64,2.8438
90,Star Wars: Episode 1 – Clash of the Lightsabers,"Card Game,Movies / TV / Radio theme,Science Fiction",Hand Management,1999,2,2,20,571,6.22066,5.72277,61,1.4262
91,Paths of Glory,"Wargame,World War I","Campaign / Battle Card Driven,Dice Rolling,Point to Point Movement",1999,2,2,480,4220,8.04193,7.38737,607,3.827
93,El Grande,Renaissance,"Area Control / Area Influence,Area Movement,Auction/Bidding,Card Drafting,Hand Management,Memory,Simultaneous Action Selection",1995,2,5,120,22141,7.76534,7.6123,2039,3.0638
94,Union Pacific,"Economic,Trains","Card Drafting,Route/Network Building,Stock Holding",1999,2,6,90,4122,7.21975,6.78928,463,2.5508
95,Igel Ärgern,"Animals,Children's Game,Dice,Racing",Roll / Spin and Move,1990,2,6,30,996,6.40403,5.87986,123,1.3821
96,Broadsides and Boarding Parties,"Nautical,Pirates,Wargame","Action / Movement Programming,Dice Rolling,Hand Management,Point to Point Movement",1982,2,2,60,551,6.16399,5.66091,46,1.8261
97,Conquest of the Empire,"Ancient,Economic,Wargame","Area Movement,Dice Rolling",1984,2,6,240,984,6.27363,5.77608,80,2.525
98,Axis & Allies,"Economic,Wargame,World War II","Area Movement,Dice Rolling,Partnerships",1981,2,5,180,9881,6.55979,6.30726,944,3.0392
99,Fortress America,"Science Fiction,Wargame","Area Movement,Dice Rolling",1986,2,4,180,2316,6.70039,6.2143,239,2.6444
101,Detroit-Cleveland Grand Prix,"Card Game,Racing",Auction/Bidding,1996,2,6,60,1079,6.78164,6.06553,110,1.7
102,Klunker,Card Game,Set Collection,1999,3,5,30,863,6.22487,5.78068,86,1.7674
103,Titan,"Fantasy,Fighting","Dice Rolling,Player Elimination,Roll / Spin and Move,Secret Unit Deployment,Set Collection",1980,2,6,240,3791,6.96508,6.5103,418,3.4593
104,Extrablatt,Territory Building,"Area Control / Area Influence,Set Collection,Simulation,Tile Placement",1991,3,4,90,252,7.03345,5.73776,30,2.9
105,Colossal Arena,"Card Game,Fantasy,Mythology","Betting/Wagering,Hand Management",1997,2,5,60,6799,6.77945,6.55286,728,2.0206
106,Mystery Rummy: Jack the Ripper,"Card Game,Murder/Mystery","Hand Management,Set Collection,Voting",1998,2,4,45,3212,6.95556,6.50686,291,1.7457
108,TAMSK,"Abstract Strategy,Real-time","Area Enclosure,Grid Movement",1998,2,2,20,1316,6.77438,6.11904,154,2.2922
109,Wettstreit der Baumeister,City Building,Auction/Bidding,1994,3,4,45,381,6.10168,5.62544,26,2
110,Auf Achse,"Economic,Transportation","Auction/Bidding,Pick-up and Deliver,Roll / Spin and Move",1987,2,6,60,1533,6.23558,5.87523,141,1.9574
111,Rheinländer,"Abstract Strategy,Medieval,Territory Building","Area Control / Area Influence,Area Enclosure,Hand Management",1999,3,5,45,1489,6.60971,6.07592,173,2.422
112,Condottiere,"Bluffing,Card Game,Medieval,Negotiation","Area Control / Area Influence,Auction/Bidding,Hand Management",1995,2,6,45,7954,6.80708,6.59425,672,1.9613
113,Mit List und Tücke,Card Game,Trick-taking,1999,4,6,60,227,6.62731,5.65981,18,1.8889
114,Ransom,"Abstract Strategy,Bluffing,City Building,Economic,Negotiation","Auction/Bidding,Co-operative Play,Commodity Speculation,Memory,Partnerships,Trading",1994,2,6,45,73,6.36849,5.53564,8,1.625
115,I'm the Boss!,Negotiation,"Dice Rolling,Hand Management,Roll / Spin and Move,Set Collection,Take That",1994,3,6,60,3402,6.80274,6.41462,310,1.9742
116,Guillotine,"Card Game,Humor",Hand Management,1998,2,5,30,18408,6.53427,6.41245,1459,1.2707
117,Ta Yü,Abstract Strategy,"Partnerships,Pattern Building,Route/Network Building,Tile Placement",1999,2,4,45,1416,6.95751,6.2339,149,2.0671
118,Modern Art,"Card Game,Economic","Auction/Bidding,Commodity Speculation,Hand Management",1992,3,5,45,15236,7.38379,7.20989,1352,2.3107
119,Kingdoms,"Abstract Strategy,Fantasy,Medieval",Tile Placement,1994,2,4,45,4537,6.63792,6.36572,408,1.826
120,Hoity Toity,Bluffing,"Rock-Paper-Scissors,Set Collection,Simultaneous Action Selection",1990,2,6,45,4788,6.52374,6.28059,534,1.8652
121,Dune,"Bluffing,Fighting,Negotiation,Novel-based,Political,Science Fiction","Area Control / Area Influence,Area Movement,Auction/Bidding,Hand Management,Partnerships,Variable Player Powers",1979,2,6,180,5253,7.6216,7.13375,552,3.4402
122,Quo Vadis?,"Ancient,Negotiation,Political","Point to Point Movement,Trading,Voting",1992,3,5,45,2087,6.45006,6.07307,193,2.0725
124,Primordial Soup,Prehistoric,"Dice Rolling,Grid Movement,Player Elimination,Variable Phase Order,Variable Player Powers",1997,3,4,90,4448,6.95036,6.60193,467,2.7302
125,Money!,Card Game,"Auction/Bidding,Set Collection,Simultaneous Action Selection",1999,3,5,30,2632,6.53185,6.17475,211,1.5498
126,The Really Nasty Horse Racing Game,"Animals,Racing",Betting/Wagering,1987,2,6,90,749,6.26716,5.73463,76,1.6842
127,Princess Ryan's Star Marines,"Deduction,Science Fiction","Co-operative Play,Simultaneous Action Selection,Variable Player Powers",1997,1,6,120,198,5.30758,5.46914,24,2.4583
128,Take it Easy!,"Abstract Strategy,Puzzle",Tile Placement,1983,1,8,20,2570,6.62343,6.22371,215,1.4884
130,Iron Dragon,"Fantasy,Trains,Transportation","Crayon Rail System,Pick-up and Deliver",1994,2,6,240,1535,6.98249,6.23066,143,2.9441
132,Caesar & Cleopatra,"Ancient,Bluffing,Card Game","Area Control / Area Influence,Hand Management,Set Collection",1997,2,2,60,4153,6.422,6.17237,406,1.9138
133,Frischfleisch,"Exploration,Horror",Modular Board,1999,2,6,120,145,6.11552,5.56038,11,2.5455
134,Cape Horn,"Nautical,Racing",Tile Placement,1999,3,5,45,530,6.00406,5.63637,44,2.0227
135,Kontor,"City Building,Nautical,Renaissance","Area Control / Area Influence,Commodity Speculation,Tile Placement",1999,2,4,60,741,5.95861,5.65083,77,2.2078
137,Pass the Bomb,"Electronic,Party Game,Real-time,Word Game",Dice Rolling,1994,2,10,20,1161,5.82536,5.64215,75,1.32
139,Hoax,"Bluffing,Deduction",Voting,1981,3,12,45,216,5.98264,5.56701,16,1.375
140,Pit,"Card Game,Economic,Party Game,Real-time","Set Collection,Trading",1903,3,8,90,7779,6.38715,6.22176,559,1.1574
141,Andromeda,"Science Fiction,Space Exploration,Territory Building","Area Control / Area Influence,Set Collection,Trading",1999,3,5,60,1271,6.38923,5.91664,128,2.2266
142,Vino,Economic,"Area Control / Area Influence,Commodity Speculation,Simultaneous Action Selection",1999,3,5,90,666,6.45408,5.81529,63,2.9841
144,Elfenwizards,Negotiation,Dice Rolling,1995,3,6,90,107,6.17664,5.54619,10,2.3
146,Buy Low Sell High,Economic,Commodity Speculation,1996,2,4,60,853,6.14433,5.74162,106,1.9906
147,Crude: The Oil Game,"Economic,Industry / Manufacturing","Commodity Speculation,Dice Rolling,Tile Placement",1974,2,4,90,1030,6.72142,6.02539,99,2.7374
148,Die Glücksritter,"Bluffing,Medieval","Rock-Paper-Scissors,Simultaneous Action Selection",1999,3,6,60,128,5.78984,5.52281,10,1.8
150,PitchCar,"Action / Dexterity,Children's Game,Party Game,Racing,Sports",Modular Board,1995,2,8,30,9019,7.24495,7.00985,637,1.1287
152,Mu & more,"Card Game,Game System","Partnerships,Trick-taking",1995,2,8,60,1796,7.16575,6.44482,174,2.4828
153,Take 5!,Card Game,"Hand Management,Set Collection",1998,2,6,60,1718,6.4608,6.01792,157,1.4713
154,Union vs. Central,"Adventure,American West,Card Game,Economic,Trains,Transportation","Hand Management,Pick-up and Deliver",1999,2,2,360,95,6.81895,5.5851,8,3.75
155,Was sticht?,"Card Game,Deduction","Card Drafting,Trick-taking",1993,3,4,60,603,6.94508,5.95317,58,2.3966
156,Wildlife Adventure,"Animals,Exploration,Transportation","Point to Point Movement,Route/Network Building",1985,2,6,60,560,6.8318,5.87851,59,1.8814
157,Eurorails,"Economic,Trains,Transportation","Crayon Rail System,Pick-up and Deliver,Route/Network Building",1990,2,6,240,1706,7.07551,6.33113,146,2.7397
162,The Awful Green Things From Outer Space,"Science Fiction,Wargame","Area Movement,Dice Rolling",1979,2,2,90,2486,6.50592,6.11254,274,1.8613
163,Balderdash,"Bluffing,Party Game,Word Game","Paper-and-Pencil,Voting",1984,2,6,60,4961,6.42568,6.17475,316,1.4177
165,Black Box,"Abstract Strategy,Deduction,Puzzle","Line Drawing,Pattern Recognition,Secret Unit Deployment",1977,1,2,20,800,6.36483,5.81505,75,2.0667
166,Black Death,"Educational,Medical","Action Point Allowance System,Dice Rolling,Point to Point Movement,Simulation,Variable Player Powers",1993,2,6,120,127,5.66142,5.50876,19,1.8421
167,Dicke Kartoffeln,"Economic,Farming",Commodity Speculation,1989,2,6,120,151,6.21391,5.56551,14,3.4286
168,Empire Builder,"Economic,Trains,Transportation","Action / Movement Programming,Area Enclosure,Crayon Rail System,Pick-up and Deliver,Route/Network Building",1982,2,6,180,2746,6.93025,6.40476,288,2.625
169,En Garde,"Card Game,Sports","Hand Management,Point to Point Movement",1993,2,2,30,1522,6.48104,6.01298,120,1.4
170,Family Business,"Card Game,Mafia","Hand Management,Player Elimination,Take That",1982,2,6,30,3839,6.08027,5.88422,376,1.3245
171,Chess,Abstract Strategy,Grid Movement,1475,2,2,60,25665,7.10364,6.92613,2134,3.7193
172,For Sale,"Card Game,Economic","Auction/Bidding,Hand Management",1997,3,6,30,21173,7.22082,7.10697,1490,1.2698
173,Formula Dé,"Racing,Sports","Grid Movement,Partnerships,Player Elimination,Press Your Luck,Roll / Spin and Move,Simulation",1991,2,10,120,7516,6.9874,6.71975,771,1.965
174,T-Rex,Card Game,"Hand Management,Set Collection,Trick-taking",1999,3,5,45,262,5.50534,5.50058,21,1.9048
175,Raj,"Animals,Bluffing,Card Game",Simultaneous Action Selection,1988,2,5,20,1789,6.47758,6.04582,193,1.1813
176,Give Me the Brain!,"Card Game,Zombies","Action Point Allowance System,Auction/Bidding,Hand Management",1996,3,8,15,2077,5.85211,5.6737,172,1.2791
178,Mole Hill,Abstract Strategy,"Area Enclosure,Variable Player Powers",1997,2,2,15,197,5.96853,5.5565,27,1.7407
180,Pool Position,"Abstract Strategy,Card Game","Simultaneous Action Selection,Tile Placement",1999,2,5,30,127,5.77874,5.52374,22,1.7273
181,Risk,"Negotiation,Territory Building,Wargame","Area Control / Area Influence,Area Movement,Dice Rolling,Partnerships,Player Elimination,Set Collection",1959,2,6,120,27596,5.58108,5.44995,2134,2.0928
182,Knights of Charlemagne,"Card Game,Medieval","Hand Management,Partnerships,Set Collection",1995,2,4,30,654,6.36253,5.77872,89,1.427
185,Devil Bunny Needs a Ham,"Print & Play,Racing",Roll / Spin and Move,1998,2,5,30,694,5.41037,5.44721,72,1.1667
186,Split,Card Game,"Partnerships,Pattern Building,Point to Point Movement",1999,2,6,30,173,5.80732,5.53281,15,1.1333
188,Go,Abstract Strategy,Area Enclosure,-2200,2,2,180,13761,7.6351,7.33841,1355,3.997
189,Die Siedler von Nürnberg,"Medieval,Negotiation","Dice Rolling,Hand Management,Memory,Trading",1999,3,4,90,880,6.94446,6.06699,74,2.7838
190,Dolce Vita,Card Game,Auction/Bidding,1999,3,5,30,191,6.1445,5.57696,16,1.6875
192,Nicht die Bohne!,Card Game,"Simultaneous Action Selection,Trading",1999,3,6,45,996,6.35558,5.86451,105,1.3619
193,Fill or Bust,Dice,"Dice Rolling,Press Your Luck",1981,2,10,30,502,5.72648,5.54753,41,1.1707
194,Groo: The Game,"Card Game,City Building,Comic Book / Strip,Fantasy","Dice Rolling,Take That",1997,2,4,45,800,6.28221,5.77098,70,1.5
195,NASCAR Champions,"Dice,Racing,Sports",Dice Rolling,1998,2,5,30,96,5.39844,5.49159,9,1.1111
196,Kremlin,"Negotiation,Political","Secret Unit Deployment,Voting",1986,3,6,75,2701,6.96952,6.45292,262,2.8359
197,HellRail (Second Perdition),"Card Game,Trains,Transportation",Pick-up and Deliver,1999,3,4,75,96,6.06822,5.53583,8,2
198,Buried Treasure,"Card Game,Pirates",Set Collection,1992,2,4,30,232,6.01793,5.57527,21,1.5714
199,Manhattan,City Building,"Area Control / Area Influence,Hand Management",1994,2,4,45,4604,6.72225,6.43382,375,1.9227
200,Entdecker,Exploration,"Area Control / Area Influence,Modular Board,Tile Placement",1996,2,4,60,1370,6.46387,5.97563,126,2.2381
201,The Rose King,"Abstract Strategy,Medieval","Grid Movement,Hand Management",1992,2,2,30,2915,6.80725,6.38893,222,1.964
202,Targui,Wargame,"Modular Board,Player Elimination",1988,2,4,120,680,6.36807,5.77507,58,2.3793
204,Stephenson's Rocket,Trains,"Area Control / Area Influence,Grid Movement,Route/Network Building,Set Collection,Stock Holding,Tile Placement",1999,2,4,60,2475,6.88426,6.40064,245,3.0653
206,Pepper,Card Game,Trick-taking,1998,3,9,45,139,5.94187,5.541,8,1.75
214,Café International,Abstract Strategy,"Hand Management,Pattern Building,Tile Placement",1989,2,4,60,2358,6.25013,5.96327,200,1.67
215,Tichu,Card Game,"Betting/Wagering,Hand Management,Partnerships,Trick-taking",1991,4,4,60,12525,7.58384,7.34795,882,2.3401
216,Atlanteon,"Abstract Strategy,Napoleonic","Area Control / Area Influence,Tile Placement",1992,2,2,30,690,5.81417,5.59218,73,2.0274
217,A la carte,"Action / Dexterity,Party Game","Action Point Allowance System,Dice Rolling,Set Collection",1989,2,4,30,2946,6.4715,6.15119,236,1.3093
218,High-Bid,Negotiation,"Auction/Bidding,Set Collection",1965,2,4,25,256,5.78965,5.54514,30,1.8
219,Volle Hütte,Economic,"Hand Management,Tile Placement",1997,3,5,30,162,6.20648,5.5732,11,2.0909
220,High Society,Card Game,Auction/Bidding,1995,3,5,30,7424,6.99883,6.76262,541,1.5065
221,Ikusa,"Civil War,Wargame","Auction/Bidding,Dice Rolling,Simultaneous Action Selection",1986,2,5,360,4705,7.02466,6.61197,501,2.9461
222,Space Beans,"Card Game,Science Fiction","Card Drafting,Set Collection",1999,2,6,40,1388,6.07974,5.78901,118,1.3898
223,Expedition,"Exploration,Transportation,Travel","Point to Point Movement,Route/Network Building",1996,2,6,90,1057,6.83381,6.08236,123,1.9756
224,History of the World,"Ancient,Civilization,Medieval,Renaissance,Wargame","Area Control / Area Influence,Dice Rolling,Hand Management",1991,3,6,270,4264,7.12397,6.68368,485,2.7773
226,Isi,Abstract Strategy,"Modular Board,Route/Network Building",1999,2,2,30,39,6.57051,5.52999,0,0
228,Lunch Money,"Card Game,Fighting","Hand Management,Take That",1996,2,4,20,2519,5.63184,5.52215,197,1.5178
229,King of the Elves,"Card Game,Fantasy,Travel","Card Drafting,Hand Management,Point to Point Movement",1999,2,6,60,1268,6.22081,5.84526,119,2.0168
230,Merchant of Venus,"Economic,Exploration,Science Fiction,Space Exploration,Transportation","Commodity Speculation,Dice Rolling,Pick-up and Deliver,Point to Point Movement,Roll / Spin and Move",1988,1,6,180,2591,7.1559,6.57009,278,2.8345
231,Geronimo,"American Indian Wars,American West,Wargame","Area Movement,Variable Player Powers",1995,1,5,480,228,5.71948,5.51359,30,3.1667
232,Serenissima (first edition),"Economic,Nautical,Renaissance","Pick-up and Deliver,Trading",1996,2,4,120,2186,6.8652,6.30287,253,3.0435
234,Hannibal: Rome vs. Carthage,"Ancient,Political,Wargame","Area Control / Area Influence,Campaign / Battle Card Driven,Dice Rolling,Point to Point Movement,Simulation",1996,2,2,200,4643,7.80861,7.25567,571,3.4396
235,Blackbeard,"Adventure,Age of Reason,Nautical,Pirates,Wargame","Hex-and-Counter,Variable Player Powers",1991,1,4,240,1352,6.32821,5.88339,158,3.1899
237,Wooden Ships & Iron Men,"Age of Reason,American Indian Wars,American Revolutionary War,Napoleonic,Nautical,Pirates,Post-Napoleonic,Wargame","Action / Movement Programming,Dice Rolling,Hex-and-Counter",1974,2,2,60,1880,7.03482,6.34588,236,3.1271
240,Britannia,"Civilization,Medieval,Wargame","Area Movement,Dice Rolling,Variable Player Powers,Voting",1986,3,5,300,3925,7.20414,6.73163,526,3.1692
241,Age of Exploration,"Exploration,Renaissance",Press Your Luck,1994,1,6,180,184,6.06223,5.56672,16,3.0625
242,Junta,"Bluffing,Humor,Mafia,Negotiation,Political,Wargame","Area Movement,Dice Rolling,Hand Management,Simultaneous Action Selection,Trading,Variable Player Powers,Voting",1978,2,7,240,5190,6.70538,6.39436,459,2.8606
243,Advanced Squad Leader,"Wargame,World War II","Auction/Bidding,Dice Rolling,Hex-and-Counter,Modular Board,Press Your Luck,Secret Unit Deployment,Simulation,Time Track,Variable Player Powers",1985,2,2,480,3346,7.96815,7.12886,633,4.7172
244,Circus Maximus,"Ancient,Fighting,Racing","Action / Movement Programming,Action Point Allowance System,Betting/Wagering,Dice Rolling,Grid Movement,Paper-and-Pencil,Player Elimination,Press Your Luck,Variable Player Powers",1979,2,8,120,1533,6.72888,6.11477,162,2.6543
247,Gloria Picktoria,Card Game,"Card Drafting,Set Collection",1996,2,5,45,1011,6.36767,5.87276,108,1.4815
248,Blood Royale,"Medieval,Negotiation,Political,Territory Building","Pick-up and Deliver,Set Collection",1987,3,5,240,619,6.53554,5.80654,65,3.3231
249,Lifeboats,"Nautical,Negotiation","Player Elimination,Simultaneous Action Selection,Voting",1993,3,6,90,3345,6.58534,6.25872,274,1.7883
